Gender,Age,Under30,SeniorCitizen,Married,NumberofDependents,Latitude,Longitude,Population,Number_of_Referrals,TenureinMonths,Offer,PhoneService,AvgMonthlyLongDistanceCharges,MultipleLines,InternetType,AvgMonthlyGBDownload,OnlineSecurity,OnlineBackup,DeviceProtectionPlan,PremiumTechSupport,StreamingTV,StreamingMovies,StreamingMusic,UnlimitedData,Contract,PaperlessBilling,PaymentMethod,MonthlyCharge,TotalCharges,TotalRefunds,TotalExtraDataCharges,TotalLongDistanceCharges,TotalRevenue,SatisfactionScore
Female,66,No,Yes,No,0,33.845706,-118.012204,44442,0,41,,Yes,27.95,Yes,Fiber Optic,23,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,113.2,4689.5,0.0,0,1145.95,5835.45,1
Male,59,No,No,Yes,0,33.694501,-116.412711,29340,1,51,,Yes,31.66,No,Cable,3,Yes,No,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,76.4,3966.3,0.0,0,1614.66,5580.96,3
Female,46,No,No,No,0,37.605926,-120.69955,1055,0,69,Offer A,Yes,13.91,Yes,Cable,7,Yes,Yes,No,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,66.9,4577.9,0.0,0,959.79,5537.69,3
Male,61,No,No,No,2,37.684694,-122.40712,3635,0,30,Offer C,Yes,4.27,Yes,,0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,25.35,723.3,0.0,0,128.1,851.4,3
Female,57,No,No,No,0,34.052917,-118.255178,21,0,5,,Yes,6.17,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.85,108.05,0.0,0,30.85,138.9,1
Female,21,Yes,No,Yes,0,34.741406,-118.38111,49309,2,25,,Yes,10.49,No,,0,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,20.2,507.9,0.0,0,262.25,770.15,3
Male,41,No,No,Yes,0,34.432843,-118.730106,1459,1,3,Offer E,Yes,37.61,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,20.55,51.15,0.0,0,112.83,163.98,1
Female,78,No,Yes,Yes,0,36.594542,-119.905245,265,10,19,,Yes,19.57,Yes,Fiber Optic,27,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,94.95,1760.25,0.0,0,371.83,2132.08,5
Female,38,No,No,No,0,38.652065,-121.25441,40750,0,33,,Yes,15.69,Yes,DSL,24,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,60.9,2033.85,0.0,0,517.77,2551.62,4
Female,21,Yes,No,Yes,0,32.774046,-117.142454,11650,5,70,Offer A,No,0.0,No,Cable,46,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,64.55,4504.9,46.06,0,0.0,4458.84,3
Male,24,Yes,No,No,0,40.665952,-124.240051,1447,0,6,Offer E,Yes,12.17,No,,0,No,No,No,No,No,No,No,No,One Year,No,Credit Card,20.6,116.6,0.0,0,73.02,189.62,3
Male,40,No,No,No,3,32.579134,-117.119009,26662,0,9,Offer E,Yes,41.02,No,DSL,27,No,No,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,55.35,449.75,0.0,0,369.18,818.93,1
Male,33,No,No,Yes,1,34.172071,-118.946262,37779,1,5,,Yes,15.01,No,Fiber Optic,19,Yes,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,90.35,434.5,17.33,0,75.05,492.22,4
Female,63,No,No,No,0,37.410567,-122.297152,25569,0,52,,No,0.0,No,DSL,7,Yes,Yes,No,Yes,No,No,No,No,Two Year,No,Credit Card,39.1,1982.1,0.0,130,0.0,2112.1,3
Female,42,No,No,No,0,37.939768,-120.188002,3979,0,11,Offer D,Yes,13.56,No,Cable,17,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,64.9,716.1,0.0,0,149.16,865.26,5
Female,60,No,No,No,0,38.494832,-121.529447,42832,0,13,,Yes,21.88,Yes,Fiber Optic,4,No,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.45,1058.6,0.0,0,284.44,1343.04,2
Female,57,No,No,No,0,38.445603,-123.063756,187,0,47,,Yes,3.49,No,,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,20.15,1046.2,0.0,0,164.03,1210.23,3
Female,56,No,No,No,0,37.885629,-122.46858,13065,0,16,Offer D,Yes,44.05,No,,0,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,19.3,360.35,0.0,0,704.8,1065.15,3
Female,74,No,Yes,Yes,0,38.966713,-123.586412,586,3,72,Offer A,Yes,28.72,Yes,Fiber Optic,25,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,114.85,8317.95,0.0,0,2067.84,10385.79,3
Female,32,No,No,No,0,33.012751,-117.200617,7615,0,47,Offer B,Yes,2.45,No,Fiber Optic,13,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,103.7,4730.6,0.0,0,115.15,4845.75,4
Female,24,Yes,No,Yes,0,34.903052,-118.411251,14931,5,72,Offer A,Yes,41.21,Yes,Fiber Optic,73,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,110.65,8065.65,0.0,0,2967.12,11032.77,4
Male,40,No,No,Yes,0,39.288127,-122.415841,844,0,64,Offer B,Yes,48.41,No,Fiber Optic,22,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,73.55,4764.0,21.9,0,3098.24,7840.34,3
Male,61,No,No,Yes,0,32.957195,-117.202542,28201,1,11,Offer D,Yes,13.33,No,Fiber Optic,19,No,No,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,79.5,868.5,0.0,50,146.63,1065.13,1
Male,22,Yes,No,Yes,1,36.397745,-120.119911,1852,1,72,Offer A,Yes,23.7,Yes,Fiber Optic,59,No,No,Yes,No,No,Yes,Yes,No,Two Year,Yes,Credit Card,90.8,6511.8,0.0,60,1706.4,8278.2,3
Male,30,No,No,No,0,34.1678,-116.86433,301,0,2,,Yes,12.59,No,Cable,76,Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,53.45,119.5,0.0,0,25.18,144.68,4
Female,35,No,No,Yes,0,35.176236,-120.483243,24499,5,4,,Yes,45.84,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,20.15,91.4,0.0,0,183.36,274.76,3
Female,25,Yes,No,No,2,36.057458,-118.591951,191,0,18,Offer D,Yes,17.51,Yes,DSL,30,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,57.65,992.7,0.0,0,315.18,1307.88,3
Male,59,No,No,Yes,0,33.81859,-117.821288,40915,1,65,,Yes,23.46,No,,0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,20.4,1414.45,0.0,0,1524.9,2939.35,3
Male,65,No,Yes,No,0,32.957195,-117.202542,28201,0,1,,Yes,42.3,No,Fiber Optic,16,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.1,79.1,0.0,0,42.3,121.4,3
Female,77,No,Yes,No,0,34.004379,-117.447864,63999,0,5,Offer E,No,0.0,No,DSL,26,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,28.45,131.05,0.0,0,0.0,131.05,2
Male,64,No,No,No,0,32.67117,-117.00232,17389,0,3,,Yes,33.53,No,DSL,30,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Mailed Check,54.65,189.1,0.0,0,100.59,289.69,5
Male,62,No,No,No,0,37.881842,-121.848111,14239,0,22,,Yes,37.11,No,DSL,15,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,No,Mailed Check,55.1,1253.15,0.0,0,816.42,2069.57,3
Male,31,No,No,Yes,1,34.11572,-118.192754,64672,7,60,,Yes,21.98,No,,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,19.65,1161.75,0.0,0,1318.8,2480.55,5
Female,25,Yes,No,Yes,0,38.067204,-122.524004,13361,9,56,,Yes,42.81,Yes,Fiber Optic,51,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.6,4902.8,0.0,0,2397.36,7300.16,4
Female,26,Yes,No,No,0,34.1678,-116.86433,301,0,8,,Yes,5.27,No,,0,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,20.2,140.95,0.0,0,42.16,183.11,4
Female,65,No,Yes,No,0,38.578807,-123.19338,1575,0,6,,Yes,12.67,No,Fiber Optic,20,Yes,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,74.1,450.9,0.0,0,76.02,526.92,3
Female,62,No,No,Yes,1,38.006047,-121.916834,78816,7,72,Offer A,Yes,21.14,Yes,,0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,23.75,1679.25,0.0,0,1522.08,3201.33,5
Female,69,No,Yes,No,0,37.333851,-121.891147,561,0,71,Offer A,Yes,37.39,Yes,DSL,22,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Two Year,No,Credit Card,89.85,6293.45,0.0,140,2654.69,9088.14,3
Female,23,Yes,No,Yes,0,32.790282,-115.689559,1632,4,22,,Yes,4.01,No,Cable,53,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,83.3,1845.9,0.0,0,88.22,1934.12,1
Male,44,No,No,No,0,33.924143,-117.79387,1408,0,13,Offer D,Yes,45.03,No,,0,No,No,No,No,No,No,No,No,One Year,No,Credit Card,19.3,259.65,35.28,0,585.39,809.76,4
Male,62,No,No,Yes,2,38.333133,-121.920151,63157,8,4,,Yes,3.57,No,,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,19.5,96.85,0.0,0,14.28,111.13,4
Male,57,No,No,No,0,38.208336,-120.339938,115,0,7,,Yes,5.61,No,DSL,24,No,No,No,No,Yes,No,No,Yes,Month-to-Month,No,Mailed Check,54.85,370.4,0.0,0,39.27,409.67,3
Female,52,No,No,No,0,33.907361,-117.109972,12743,0,53,,Yes,29.39,Yes,Fiber Optic,12,Yes,Yes,Yes,No,Yes,No,No,Yes,One Year,No,Credit Card,98.6,5311.85,0.0,0,1557.67,6869.52,3
Male,80,No,Yes,No,0,35.957019,-119.330928,4198,0,65,,Yes,44.23,Yes,Fiber Optic,27,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,110.35,7246.15,0.0,0,2874.95,10121.1,3
Male,59,No,No,Yes,3,37.639029,-120.964772,27135,1,72,,Yes,44.61,Yes,DSL,53,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,87.55,6463.15,0.0,0,3211.92,9675.07,4
Male,19,Yes,No,Yes,1,34.132275,-117.611478,39064,1,30,,Yes,10.24,Yes,Fiber Optic,48,No,Yes,No,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,83.55,2570.2,0.0,0,307.2,2877.4,3
Female,24,Yes,No,Yes,0,33.716136,-117.752574,26419,8,33,Offer C,Yes,8.79,No,Cable,27,Yes,Yes,Yes,No,No,No,No,Yes,One Year,Yes,Credit Card,58.45,1955.4,0.0,0,290.07,2245.47,4
Male,45,No,No,No,0,41.867908,-123.794144,532,0,57,Offer B,Yes,36.08,Yes,Fiber Optic,26,No,No,No,No,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,86.9,4939.25,0.0,0,2056.56,6995.81,5
Male,49,No,No,Yes,0,34.209532,-118.577563,43857,3,59,,Yes,16.06,No,DSL,4,Yes,Yes,Yes,No,Yes,No,No,Yes,One Year,No,Credit Card,66.4,3958.2,0.0,0,947.54,4905.74,3
Male,29,Yes,No,No,3,36.248708,-121.386617,14204,0,1,Offer E,Yes,7.14,No,DSL,52,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,44.4,44.4,0.0,0,7.14,51.54,3
Male,46,No,No,Yes,0,34.110845,-118.259595,29310,1,61,,Yes,21.96,Yes,Fiber Optic,2,No,No,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,96.5,5673.7,0.0,0,1339.56,7013.26,5
Female,53,No,No,No,0,34.136306,-118.26036,17015,0,67,,Yes,16.72,Yes,,0,No,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,25.6,1790.35,46.06,0,1120.24,2864.53,3
Female,21,Yes,No,Yes,0,38.99003,-121.114408,18197,0,51,Offer B,No,0.0,No,DSL,42,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,49.65,2553.35,0.0,0,0.0,2553.35,3
Female,20,Yes,No,No,0,34.029175,-117.307211,11024,0,41,,Yes,36.7,Yes,Fiber Optic,59,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,106.5,4282.4,0.0,0,1504.7,5787.1,4
Female,29,Yes,No,No,0,32.85723,-117.209774,34902,0,7,,Yes,28.62,Yes,Fiber Optic,26,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,73.85,511.25,13.03,0,200.34,698.56,3
Female,74,No,Yes,Yes,0,34.079934,-118.046695,30211,1,24,Offer C,No,0.0,No,Cable,29,No,No,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Credit Card,40.65,933.3,0.0,0,0.0,933.3,1
Female,63,No,No,No,0,37.339533,-121.777179,44103,0,24,Offer C,Yes,44.09,Yes,Fiber Optic,9,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,88.95,2072.75,0.0,0,1058.16,3130.91,3
Female,27,Yes,No,Yes,0,34.018354,-117.85492,45118,1,33,,Yes,15.45,No,Cable,59,No,Yes,No,Yes,No,No,No,Yes,One Year,Yes,Credit Card,53.75,1857.3,0.0,0,509.85,2367.15,3
Male,37,No,No,Yes,0,34.064073,-117.166158,36675,1,5,Offer E,No,0.0,No,DSL,7,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,24.95,100.4,0.0,0,0.0,100.4,1
Female,23,Yes,No,No,0,33.748635,-117.906125,70011,0,11,,No,0.0,No,DSL,59,No,Yes,Yes,Yes,No,No,No,Yes,One Year,Yes,Credit Card,40.4,422.6,0.0,0,0.0,422.6,5
Male,37,No,No,No,0,38.733714,-120.795213,34146,0,10,Offer D,Yes,46.33,No,Fiber Optic,26,Yes,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,98.9,1064.95,0.0,0,463.3,1528.25,3
Female,44,No,No,Yes,0,36.497895,-119.285484,5519,8,8,Offer E,Yes,17.09,No,,0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,19.85,146.6,0.0,0,136.72,283.32,5
Female,38,No,No,Yes,0,37.731505,-122.384532,33177,1,63,Offer B,Yes,49.08,Yes,Cable,24,Yes,Yes,No,No,Yes,Yes,Yes,No,One Year,Yes,Credit Card,79.7,4786.15,0.0,30,3092.04,7908.19,3
Male,25,Yes,No,No,0,34.200175,-118.540958,68018,0,72,Offer A,Yes,29.29,Yes,,0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,24.75,1777.6,0.0,0,2108.88,3886.48,5
Male,38,No,No,No,0,34.624399,-120.137875,7958,0,20,Offer D,Yes,25.41,Yes,Fiber Optic,27,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,90.7,1781.35,0.0,0,508.2,2289.55,4
Male,60,No,No,No,0,32.787836,-117.232376,46086,0,11,Offer D,Yes,15.03,Yes,DSL,13,No,No,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,53.75,608.0,0.0,0,165.33,773.33,1
Male,67,No,Yes,No,0,39.043387,-121.409837,3600,0,9,,Yes,30.8,Yes,Fiber Optic,18,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Credit Card,84.4,732.5,0.0,0,277.2,1009.7,2
Female,23,Yes,No,No,0,33.017518,-117.118456,20046,0,23,,Yes,19.96,No,Fiber Optic,76,No,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,83.2,2032.3,23.79,0,459.08,2467.59,3
Female,26,Yes,No,Yes,0,39.806141,-123.531098,2706,2,71,,Yes,39.44,No,,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,19.1,1372.45,0.0,0,2800.24,4172.69,4
Female,25,Yes,No,No,0,37.670526,-120.877572,13343,0,24,,Yes,5.98,No,,0,No,No,No,No,No,No,No,No,One Year,No,Credit Card,20.45,527.35,0.0,0,143.52,670.87,4
Female,39,No,No,Yes,0,34.845861,-118.885163,1247,1,3,Offer E,Yes,35.18,Yes,Fiber Optic,13,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,74.75,229.5,0.0,0,105.54,335.04,1
Female,24,Yes,No,No,2,39.075694,-121.70606,27786,0,26,,No,0.0,No,DSL,27,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,29.8,786.5,10.28,0,0.0,776.22,3
Male,68,No,Yes,Yes,0,39.117537,-122.284654,4579,2,7,,Yes,3.19,Yes,Cable,26,Yes,Yes,No,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,64.2,475.0,0.0,0,22.33,497.33,4
Male,77,No,Yes,No,0,38.010092,-122.689442,1025,0,12,,No,0.0,No,DSL,10,No,No,Yes,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,43.65,526.95,0.0,0,0.0,526.95,1
Male,74,No,Yes,Yes,0,37.070177,-122.010077,14574,9,71,Offer A,No,0.0,No,DSL,19,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Credit Card,46.35,3353.4,18.64,0,0.0,3334.76,4
Female,26,Yes,No,Yes,2,34.042286,-117.756106,69974,6,72,,Yes,18.14,Yes,,0,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,23.3,1623.15,0.0,0,1306.08,2929.23,5
Female,44,No,No,No,0,38.021772,-122.691744,821,0,3,Offer E,Yes,6.61,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,18.8,56.0,0.0,0,19.83,75.83,4
Female,32,No,No,Yes,2,37.980057,-121.801599,90891,1,10,Offer D,Yes,42.0,No,DSL,14,No,Yes,Yes,No,No,Yes,Yes,Yes,One Year,Yes,Credit Card,65.9,660.05,0.0,0,420.0,1080.05,4
Male,43,No,No,No,0,33.760458,-118.129725,31352,0,27,,Yes,2.59,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,19.4,460.25,29.59,0,69.93,500.59,4
Female,25,Yes,No,Yes,0,33.755039,-116.741796,3588,9,72,,Yes,16.05,No,Cable,46,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,83.7,6096.9,0.0,0,1155.6,7252.5,3
Female,53,No,No,No,0,34.457541,-119.631072,12741,0,4,Offer E,Yes,1.3,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,20.15,68.45,0.0,0,5.2,73.65,3
Male,78,No,Yes,No,0,34.057496,-118.413959,2527,0,23,,No,0.0,No,Cable,2,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,34.65,768.45,0.0,0,0.0,768.45,4
Female,68,No,Yes,No,0,37.687264,-122.15728,19815,0,29,Offer C,Yes,8.88,Yes,DSL,22,Yes,Yes,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,58.55,1718.95,33.1,0,257.52,1943.37,3
Male,54,No,No,No,0,33.88151,-118.234451,47305,0,7,Offer E,Yes,1.41,Yes,,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,23.5,173.0,0.0,0,9.87,182.87,4
Female,56,No,No,Yes,3,38.508735,-121.678813,67411,1,48,Offer B,Yes,4.45,No,DSL,57,Yes,Yes,Yes,No,No,Yes,Yes,No,Two Year,Yes,Credit Card,70.1,3238.4,0.0,30,213.6,3482.0,4
Male,54,No,No,Yes,0,34.003553,-118.308933,29299,1,1,,Yes,2.2,No,Fiber Optic,30,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.15,69.15,0.0,0,2.2,71.35,2
Female,76,No,Yes,Yes,0,37.435664,-121.049056,1508,1,42,Offer B,Yes,2.9,No,Fiber Optic,21,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,74.15,3229.4,0.0,0,121.8,3351.2,1
Female,62,No,No,No,0,37.671806,-121.007575,52872,0,28,,Yes,33.84,No,Fiber Optic,5,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,80.6,2244.95,0.0,0,947.52,3192.47,5
Male,52,No,No,Yes,0,36.596271,-121.442274,1140,9,72,,No,0.0,No,DSL,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,64.8,4719.75,0.0,0,0.0,4719.75,3
Male,65,No,Yes,No,0,33.921793,-118.140588,42459,0,3,Offer E,Yes,26.32,Yes,Fiber Optic,8,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,91.05,289.1,0.0,0,78.96,368.06,2
Female,30,No,No,Yes,2,34.956577,-119.750142,798,1,4,,Yes,28.55,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,19.95,82.9,0.0,0,114.2,197.1,4
Male,48,No,No,Yes,0,34.102119,-117.815532,33878,1,35,Offer C,Yes,48.47,Yes,Fiber Optic,12,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.2,2576.2,0.0,0,1696.45,4272.65,2
Male,26,Yes,No,No,0,34.250069,-117.393949,49355,0,72,Offer A,Yes,44.46,Yes,DSL,48,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,88.6,6201.95,0.0,0,3201.12,9403.07,3
Male,21,Yes,No,Yes,2,33.994524,-118.149953,9805,9,7,Offer E,No,0.0,No,Cable,47,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,58.85,465.7,0.0,0,0.0,465.7,3
Male,40,No,No,No,1,34.278967,-116.773825,9899,0,4,Offer E,Yes,26.04,No,DSL,27,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,49.35,219.65,0.0,0,104.16,323.81,1
Male,37,No,No,No,0,37.004068,-119.930027,49247,0,36,,Yes,12.72,No,,0,No,No,No,No,No,No,No,No,One Year,Yes,Credit Card,20.35,695.85,0.0,0,457.92,1153.77,5
Male,44,No,No,No,3,34.078821,-118.177576,46960,0,12,Offer D,Yes,17.23,No,,0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,19.35,212.3,0.0,0,206.76,419.06,5
Male,55,No,No,No,0,38.42528,-119.475741,1332,0,27,,Yes,33.94,Yes,Cable,25,No,No,Yes,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,59.45,1611.65,0.0,0,916.38,2528.03,4
Female,47,No,No,Yes,2,32.770393,-115.60915,43712,8,68,,Yes,20.15,Yes,DSL,16,Yes,Yes,Yes,No,Yes,No,No,Yes,One Year,Yes,Credit Card,73.0,5163.0,0.0,0,1370.2,6533.2,4
Male,29,Yes,No,No,0,34.062125,-118.315709,1957,0,1,,Yes,10.84,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.3,20.3,0.0,0,10.84,31.14,4
Male,64,No,No,Yes,2,36.624338,-121.615669,13027,8,39,,Yes,20.49,Yes,,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,25.2,987.95,0.0,0,799.11,1787.06,5
Female,23,Yes,No,Yes,2,33.748635,-117.906125,70011,7,51,Offer B,No,0.0,No,Cable,27,Yes,No,No,Yes,No,No,Yes,Yes,Two Year,No,Bank Withdrawal,34.2,1782.0,9.39,0,0.0,1772.61,4
Male,19,Yes,No,No,0,33.695532,-116.310571,23971,0,1,,Yes,24.66,Yes,DSL,26,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,50.75,50.75,0.0,0,24.66,75.41,4
Male,68,No,Yes,Yes,0,33.570023,-117.773669,25206,1,44,,Yes,24.62,Yes,Cable,14,No,Yes,No,No,No,Yes,Yes,Yes,One Year,No,Credit Card,88.4,3912.9,0.0,0,1083.28,4996.18,3
Male,23,Yes,No,Yes,0,37.624436,-122.430661,39566,3,10,Offer D,Yes,39.35,No,,0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,19.6,189.45,0.0,0,393.5,582.95,5
Female,52,No,No,No,0,37.946617,-122.563571,12010,0,68,,Yes,20.3,Yes,DSL,13,No,Yes,Yes,No,Yes,Yes,Yes,No,Two Year,Yes,Bank Withdrawal,80.65,5330.2,0.0,90,1380.4,6800.6,3
Male,48,No,No,No,0,34.00709,-118.258681,101215,0,62,Offer B,Yes,7.96,No,DSL,8,Yes,Yes,No,No,No,No,No,Yes,One Year,No,Bank Withdrawal,56.15,3487.95,0.0,0,493.52,3981.47,4
Male,54,No,No,No,0,38.629618,-122.593216,7384,0,1,Offer E,Yes,42.95,No,DSL,9,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,44.3,44.3,0.0,0,42.95,87.25,5
Male,20,Yes,No,Yes,0,40.949012,-123.655847,1666,5,64,Offer B,Yes,26.64,No,DSL,71,Yes,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,73.05,4688.65,0.0,0,1704.96,6393.61,3
Male,32,No,No,Yes,2,34.098275,-117.967399,76890,1,38,,Yes,25.84,Yes,Fiber Optic,19,No,No,Yes,Yes,Yes,No,No,No,Two Year,Yes,Bank Withdrawal,94.9,3616.25,0.0,0,981.92,4598.17,3
Male,60,No,No,No,0,38.166791,-121.14207,3205,0,72,,Yes,36.49,Yes,Fiber Optic,27,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,118.2,8547.15,0.0,0,2627.28,11174.43,3
Female,27,Yes,No,No,3,34.029043,-118.239504,3012,0,28,,Yes,26.09,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.25,535.35,0.0,0,730.52,1265.87,5
Female,39,No,No,Yes,0,37.449551,-122.183762,39062,1,67,,Yes,35.03,Yes,Fiber Optic,23,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,111.25,7511.65,0.0,0,2347.01,9858.66,3
Female,44,No,No,Yes,0,37.873283,-121.292034,5094,8,60,Offer B,Yes,15.54,Yes,Fiber Optic,19,Yes,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,94.1,5475.9,0.0,0,932.4,6408.3,3
Male,35,No,No,Yes,2,34.286131,-118.435969,33389,4,46,,Yes,14.91,No,,0,No,No,No,No,No,No,No,No,Two Year,Yes,Mailed Check,20.1,936.85,0.0,0,685.86,1622.71,5
Male,51,No,No,No,0,38.490508,-121.284171,592,0,5,,Yes,45.69,No,Cable,4,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,75.15,392.65,0.0,0,228.45,621.1,4
Female,24,Yes,No,Yes,3,34.109775,-117.378904,75882,1,47,,Yes,2.56,No,,0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,19.3,890.5,0.0,0,120.32,1010.82,4
